Strike,Moneyness,Bid,Mid,Ask,Latest,Change,%Change,Volume,"Open Int","OI Chg",IV,Delta,Type,Time
3.00,+79.76%,11.00,12.10,13.20,10.34,unch,unch,0,308,unch,159.99%,0.9639,Call,N/A
5.00,+66.26%,8.90,10.05,11.20,0.00,unch,unch,0,104,unch,104.36%,0.9508,Call,N/A
7.00,+52.77%,7.40,8.30,9.20,10.00,unch,unch,0,596,unch,89.87%,0.9107,Call,N/A
8.00,+46.02%,6.70,7.45,8.20,0.00,unch,unch,0,0,unch,83.53%,0.8850,Call,N/A
9.00,+39.27%,6.00,6.75,7.50,0.00,unch,unch,0,0,unch,82.66%,0.8505,Call,N/A
10.00,+32.52%,5.30,6.10,6.90,7.11,unch,unch,0,50,unch,81.70%,0.8128,Call,N/A
11.00,+25.78%,4.60,5.55,6.50,0.00,unch,unch,0,0,unch,82.17%,0.7731,Call,N/A
12.00,+19.03%,3.90,4.80,5.70,6.89,unch,unch,0,48,unch,75.93%,0.7334,Call,N/A
13.00,+12.28%,3.50,4.25,5.00,0.00,unch,unch,0,0,unch,74.24%,0.6898,Call,N/A
14.00,+5.53%,2.75,3.78,4.80,0.00,unch,unch,0,0,unch,73.33%,0.6453,Call,N/A
15.00,-1.21%,2.55,3.32,4.10,4.00,unch,unch,0,78,unch,72.05%,0.6004,Call,N/A
16.00,-7.96%,2.10,2.95,3.80,0.00,unch,unch,0,0,unch,71.53%,0.5571,Call,N/A
17.00,-14.71%,1.70,2.50,3.30,3.50,unch,unch,0,"7,392",unch,68.65%,0.5082,Call,N/A
18.00,-21.46%,1.35,2.23,3.10,0.00,unch,unch,0,0,unch,68.73%,0.4683,Call,N/A
19.00,-28.21%,1.10,2.03,2.95,0.00,unch,unch,0,0,unch,69.72%,0.4347,Call,N/A
20.00,-34.95%,0.85,1.70,2.55,2.10,unch,unch,0,71,unch,67.42%,0.3897,Call,04/14/26
21.00,-41.70%,0.75,1.53,2.30,0.00,unch,unch,0,0,unch,67.78%,0.3583,Call,N/A
22.00,-48.45%,0.55,1.38,2.20,0.00,unch,unch,0,0,unch,68.23%,0.3301,Call,N/A
23.00,-55.20%,0.35,1.23,2.10,0.00,unch,unch,0,0,unch,68.24%,0.3021,Call,N/A
25.00,-68.69%,0.20,0.88,1.55,1.50,unch,unch,0,110,unch,65.62%,0.2375,Call,N/A
27.00,-82.19%,0.05,0.78,1.50,0.00,unch,unch,0,0,unch,68.17%,0.2104,Call,N/A
30.00,-102.43%,0.05,0.63,1.20,0.81,unch,unch,0,27,unch,70.45%,0.1728,Call,N/A
3.00,-79.76%,0.00,0.10,0.20,0.00,unch,unch,0,"6,470",unch,114.36%,-0.0144,Put,N/A
5.00,-66.26%,0.00,0.35,0.70,0.27,unch,unch,0,27,unch,106.74%,-0.0452,Put,N/A
7.00,-52.77%,0.05,0.48,0.90,0.50,unch,unch,0,14,unch,85.15%,-0.0750,Put,N/A
8.00,-46.02%,0.05,0.55,1.05,0.00,unch,unch,0,0,unch,76.56%,-0.0946,Put,N/A
9.00,-39.27%,0.15,0.73,1.30,0.00,unch,unch,0,0,unch,72.58%,-0.1244,Put,N/A
10.00,-32.52%,0.35,1.00,1.65,0.00,unch,unch,0,502,unch,71.18%,-0.1627,Put,N/A
11.00,-25.78%,0.60,1.33,2.05,0.00,unch,unch,0,0,unch,69.80%,-0.2047,Put,N/A
12.00,-19.03%,0.95,1.75,2.55,1.70,unch,unch,0,158,unch,69.78%,-0.2505,Put,N/A
13.00,-12.28%,1.30,2.20,3.10,0.00,unch,unch,0,0,unch,68.98%,-0.2971,Put,N/A
14.00,-5.53%,1.75,2.58,3.40,0.00,unch,unch,0,0,unch,65.38%,-0.3474,Put,N/A
15.00,+1.21%,2.35,3.18,4.00,3.10,unch,unch,0,71,unch,65.88%,-0.3952,Put,N/A
16.00,+7.96%,2.95,3.78,4.60,0.00,unch,unch,0,0,unch,65.35%,-0.4433,Put,N/A
17.00,+14.71%,3.50,4.40,5.30,4.50,unch,unch,0,16,unch,64.46%,-0.4911,Put,N/A
18.00,+21.46%,4.10,5.05,6.00,0.00,unch,unch,0,0,unch,63.28%,-0.5393,Put,N/A
19.00,+28.21%,4.90,5.85,6.80,0.00,unch,unch,0,0,unch,64.54%,-0.5750,Put,N/A
20.00,+34.95%,5.60,6.60,7.60,6.45,unch,unch,0,13,unch,64.06%,-0.6164,Put,N/A
21.00,+41.70%,6.40,7.40,8.40,0.00,unch,unch,0,0,unch,64.07%,-0.6513,Put,N/A
22.00,+48.45%,7.40,8.25,9.10,0.00,unch,unch,0,0,unch,64.70%,-0.6808,Put,N/A
23.00,+55.20%,8.10,9.00,9.90,0.00,unch,unch,0,0,unch,62.29%,-0.7270,Put,N/A
25.00,+68.69%,9.90,10.80,11.70,0.00,unch,unch,0,0,unch,63.64%,-0.7719,Put,N/A
27.00,+82.19%,11.80,12.70,13.60,0.00,unch,unch,0,0,unch,66.60%,-0.8026,Put,N/A
30.00,+102.43%,14.50,15.40,16.30,0.00,unch,unch,0,0,unch,63.41%,-0.8758,Put,N/A
"Downloaded from Barchart.com as of 04-19-2026 04:02pm CDT"
