Time,Open,High,Low,Latest,Change,%Change,Volume
2026-05-04,17.54,18.09,17.35,18.07,0.31,+1.75%,1195900
2026-05-01,17.38,18.08,17.38,17.76,0.38,+2.19%,1426400
2026-04-30,17.12,17.58,17,17.38,0.13,+0.75%,1235600
2026-04-29,17.22,17.54,16.77,17.25,0.43,+2.56%,1369300
2026-04-28,16.6,17.09,16.27,16.82,0.36,+2.19%,1169400
2026-04-27,16.38,16.56,16,16.46,0.54,+3.39%,832100
2026-04-24,16.29,16.44,15.84,15.92,-0.4,-2.45%,793200
2026-04-23,16.29,16.47,15.97,16.32,0.07,+0.43%,817400
2026-04-22,16.51,16.72,16.07,16.25,0.04,+0.25%,1687200
2026-04-21,15.69,16.345,15.5,16.21,0.585,+3.74%,1346100
2026-04-20,15.04,15.765,14.85,15.625,0.805,+5.43%,1193400
2026-04-17,15.51,15.63,14.08,14.82,-1.14,-7.14%,3596000
2026-04-16,15.35,15.975,15.28,15.96,0.55,+3.57%,1624100
2026-04-15,15.36,15.51,15.05,15.41,0.02,+0.13%,1366200
2026-04-14,15.61,15.83,15.21,15.39,-0.28,-1.79%,1360200
2026-04-13,15.5,16.09,15.225,15.67,0.44,+2.89%,1150200
2026-04-10,15.03,15.27,14.92,15.23,0.02,+0.13%,760100
2026-04-09,15.72,16.04,14.98,15.21,-0.38,-2.44%,1142200
2026-04-08,14.68,15.71,14.57,15.59,-0.11,-0.70%,1818700
2026-04-07,16.09,16.39,15.64,15.7,-0.39,-2.42%,968100
2026-04-06,16.73,16.835,15.82,16.09,-0.87,-5.13%,843000
2026-04-02,16.49,17.125,16.355,16.96,0.73,+4.50%,2154600
2026-04-01,16.41,16.44,15.51,16.23,-0.22,-1.34%,1687800
2026-03-31,16.68,17.1,16.06,16.45,-0.08,-0.48%,1359900
2026-03-30,17.27,17.71,16.24,16.53,-0.36,-2.13%,1648700
2026-03-27,16.37,17.94,16.26,16.89,0.39,+2.36%,2102100
2026-03-26,16.1,16.88,16.06,16.5,0.31,+1.91%,1315500
2026-03-25,16.12,16.5588,16.05,16.19,-0.11,-0.67%,1317100
2026-03-24,15.68,16.46,15.21,16.3,0.94,+6.12%,2222700
2026-03-23,15.25,16.14,15.25,15.36,-0.14,-0.90%,1752700
2026-03-20,16.46,16.565,15.12,15.5,-1.01,-6.12%,3300200
2026-03-19,16.25,16.685,16.21,16.51,0.38,+2.36%,1800500
2026-03-18,16.59,16.8,15.88,16.13,-0.57,-3.41%,1536100
2026-03-17,15.83,16.79,15.81,16.7,1.33,+8.65%,1799900
2026-03-16,15.77,15.8399,15.13,15.37,-0.44,-2.78%,1163400
2026-03-13,16.19,16.285,15.505,15.81,-0.38,-2.35%,1084900
2026-03-12,15.62,16.51,15.48,16.19,0.47,+2.99%,1232700
2026-03-11,14.79,15.75,14.79,15.72,0.5,+3.29%,1072200
2026-03-10,15.12,15.615,14.54,15.22,0.28,+1.87%,1393500
