strike,moneyness,bid,mid,ask,last,change,pct_change,volume,open_interest,oi_change,iv,delta,type,last_trade
1.0,,,,,,,,,,,3.3360497640885782,0.9982503576822902,call,
1.0,,,,,,,,,,,3.073783382886086,-0.0017506950969592696,put,
2.0,,,,,,,,,,,2.382036767283284,0.9966067361410029,call,
2.0,,,,,,,,,,,2.404342107907601,-0.0033955266019410923,put,
3.0,,,,,,,,,,,1.8328273976699534,0.9930093125772335,call,
3.0,,,,,,,,,,,2.1249938110060342,-0.006996108666557175,put,
4.0,,,,,,,,,,,1.435257521361958,0.9887739504249708,call,
4.0,,,,,,,,,,,1.8770698865580067,-0.011236727026877578,put,
5.0,,,,,,,,,,,1.0807288610665182,0.9845630361302962,call,
5.0,,,,,,,,,,,1.6555980980267673,-0.015452847846701978,put,
6.0,,,,,,,,,,,1.305969862387391,0.9792714616686697,call,
6.0,,,,,,,,,,,1.4638612433294504,-0.020755333182555673,put,
7.0,,,,,,,,,,,1.2608716511747802,0.9729481399605433,call,
7.0,,,,,,,,,,,1.3013209199085543,-0.027087555210168857,put,
8.0,,,,,,,,,,,1.0702670011625721,0.964330209099136,call,
8.0,,,,,,,,,,,1.1654549375750773,-0.035730871537317854,put,
9.0,,,,,,,,,,,1.0844881939664903,0.9521198012651345,call,
9.0,,,,,,,,,,,1.0531343521002348,-0.04796300330313766,put,
10.0,,,,,,,,,,,0.8426929060088703,0.9340441598213036,call,
10.0,,,,,,,,,,,0.9612570203450449,-0.06609199691554468,put,
11.0,,,,,,,,,,,0.8135593568302902,0.9083686301216094,call,
11.0,,,,,,,,,,,0.8758962959732068,-0.09185739243978394,put,
12.0,,,,,,,,,,,0.7980550296425113,0.8720517470361357,call,
12.0,,,,,,,,,,,0.8101337465533706,-0.1283163391904625,put,
13.0,,,,,,,,,,,0.7410790300638024,0.8225626524558459,call,
13.0,,,,,,,,,,,0.7131410117162393,-0.1780240031816565,put,
14.0,,,,,,,,,,,0.6148686106865672,0.7589890041412893,call,
14.0,,,,,,,,,,,0.708978097189638,-0.24192326512831688,put,
15.0,,,,,,,,,,,0.6399315464284505,0.6828580099300726,call,
15.0,,,,,,,,,,,0.6981011749432001,-0.3185252438618816,put,
16.0,,,,,,,,,,,0.6788834465697563,0.598218134534172,call,
16.0,,,,,,,,,,,0.7028836270918651,-0.4038196236777562,put,
17.0,,,,,,,,,,,0.6282141766305216,0.5104067829945437,call,
17.0,,,,,,,,,,,0.6828762318656642,-0.4920589373379647,put,
18.0,,,,,,,,,,,0.6425664695682569,0.42675848394380106,call,
18.0,,,,,,,,,,,0.6597670834238237,-0.5771707800465862,put,
19.0,,,,,,,,,,,0.6361913926573751,0.35087076536765616,call,
19.0,,,,,,,,,,,0.6852187606307754,-0.6542300785140114,put,
20.0,,,,,,,,,,,0.6988582012423463,0.28590532570657695,call,
20.0,,,,,,,,,,,0.6748409967895008,-0.720443429865081,put,
21.0,,,,,,,,,,,0.6631089387633465,0.23229793085674486,call,
21.0,,,,,,,,,,,0.6338003282552891,-0.7753314168802856,put,
22.0,,,,,,,,,,,0.6498327692322973,0.1887368029608838,call,
22.0,,,,,,,,,,,0.7064183754580925,-0.8201711062536573,put,
23.0,,,,,,,,,,,0.6993937276186132,0.15444129572836782,call,
23.0,,,,,,,,,,,0.7110314579077043,-0.8557526936438897,put,
24.0,,,,,,,,,,,0.7196369045980503,0.1289782491519125,call,
24.0,,,,,,,,,,,0.6902514208940425,-0.8822860160694328,put,
25.0,,,,,,,,,,,0.7948406367763668,0.10714132717542496,call,
25.0,,,,,,,,,,,0.7592939280248676,-0.9051767303224051,put,
26.0,,,,,,,,,,,0.8475740999302914,0.09252607045864253,call,
26.0,,,,,,,,,,,0.7780859305511297,-0.9207304316523052,put,
27.0,,,,,,,,,,,0.7978896088348111,0.07925976601345308,call,
27.0,,,,,,,,,,,0.7978896088348111,-0.9348980564986704,put,
28.0,,,,,,,,,,,0.8184293829805578,0.06990057853939975,call,
28.0,,,,,,,,,,,0.8184293829805578,-0.9449171326360336,put,
30.0,,,,,,,,,,,0.8607601007342475,0.05547953806743919,call,
30.0,,,,,,,,,,,0.8607601007342475,-0.9606580100825654,put,
