Strike,Moneyness,Bid,Mid,Ask,Latest,Change,%Change,Volume,"Open Int","OI Chg",IV,Delta,Type,Time
9.00,+40.91%,5.50,6.40,7.30,0.00,unch,unch,0,0,unch,126.71%,0.9387,Call,N/A
10.00,+34.34%,4.30,5.30,6.30,0.00,unch,unch,0,0,unch,86.32%,0.9573,Call,N/A
11.00,+27.77%,3.80,4.45,5.10,0.00,unch,unch,0,0,unch,92.57%,0.9007,Call,N/A
12.00,+21.21%,2.90,3.60,4.30,0.00,unch,unch,0,0,unch,88.22%,0.8449,Call,N/A
13.00,+14.64%,2.05,2.72,3.40,3.37,unch,unch,0,312,unch,77.34%,0.7838,Call,03/23/26
14.00,+8.08%,1.40,1.93,2.45,2.55,unch,unch,0,153,unch,68.29%,0.6936,Call,04/01/26
15.00,+1.51%,0.95,1.35,1.75,1.99,unch,unch,0,1,unch,67.01%,0.5697,Call,04/01/26
16.00,-5.06%,0.50,0.93,1.35,1.57,unch,unch,0,29,+4,67.05%,0.4447,Call,04/09/26
17.00,-11.62%,0.35,0.80,1.25,1.76,unch,unch,0,55,unch,77.92%,0.3655,Call,04/02/26
18.00,-18.19%,0.05,0.48,0.90,1.35,unch,unch,0,13,unch,72.49%,0.2596,Call,03/26/26
19.00,-24.75%,0.05,0.38,0.70,1.20,unch,unch,0,12,unch,77.30%,0.2063,Call,03/30/26
20.00,-31.32%,0.05,0.38,0.70,0.50,unch,unch,0,699,unch,87.75%,0.1885,Call,04/07/26
21.00,-37.89%,0.05,0.33,0.60,0.00,unch,unch,0,0,unch,92.99%,0.1611,Call,N/A
22.00,-44.45%,0.00,0.25,0.50,0.40,unch,unch,0,26,unch,94.31%,0.1285,Call,03/31/26
23.00,-51.02%,0.00,0.28,0.55,0.00,unch,unch,0,0,unch,104.60%,0.1289,Call,N/A
24.00,-57.58%,0.00,0.28,0.55,0.00,unch,unch,0,0,unch,111.88%,0.1228,Call,N/A
25.00,-64.15%,0.00,0.30,0.60,0.00,unch,unch,0,0,unch,121.37%,0.1245,Call,N/A
9.00,-40.91%,0.00,0.30,0.60,0.00,unch,unch,0,0,unch,146.28%,-0.0802,Put,N/A
10.00,-34.34%,0.00,0.30,0.60,0.00,unch,unch,0,0,unch,123.00%,-0.0949,Put,N/A
11.00,-27.77%,0.05,0.30,0.55,0.00,unch,unch,0,0,unch,101.60%,-0.1136,Put,N/A
12.00,-21.21%,0.05,0.43,0.80,0.35,unch,unch,0,13,unch,93.03%,-0.1623,Put,04/07/26
13.00,-14.64%,0.35,0.55,0.75,0.40,unch,unch,0,30,unch,81.47%,-0.2222,Put,04/09/26
14.00,-8.08%,0.50,0.78,1.05,0.88,unch,unch,0,11,unch,73.44%,-0.3114,Put,04/08/26
15.00,-1.51%,0.95,1.38,1.80,0.00,unch,unch,0,0,unch,81.41%,-0.4248,Put,N/A
16.00,+5.06%,1.50,1.88,2.25,1.62,unch,unch,0,4,+4,77.37%,-0.5344,Put,04/09/26
17.00,+11.62%,2.05,2.63,3.20,1.81,unch,unch,0,1,unch,81.75%,-0.6223,Put,03/27/26
18.00,+18.19%,2.70,3.30,3.90,2.77,unch,unch,0,10,unch,77.02%,-0.7220,Put,03/26/26
19.00,+24.75%,3.60,4.20,4.80,0.00,unch,unch,0,0,unch,82.54%,-0.7727,Put,N/A
20.00,+31.32%,4.50,5.10,5.70,0.00,unch,unch,0,0,unch,85.59%,-0.8184,Put,N/A
21.00,+37.89%,5.20,5.95,6.70,0.00,unch,unch,0,0,unch,80.81%,-0.8809,Put,N/A
22.00,+44.45%,6.20,6.95,7.70,0.00,unch,unch,0,0,unch,89.03%,-0.8884,Put,N/A
23.00,+51.02%,7.20,7.95,8.70,7.60,unch,unch,0,1,+1,96.70%,-0.8943,Put,04/09/26
24.00,+57.58%,8.10,8.85,9.60,8.00,unch,unch,0,1,unch,89.23%,-0.9387,Put,04/06/26
25.00,+64.15%,9.10,9.85,10.60,9.50,unch,unch,0,1,+1,95.52%,-0.9415,Put,04/09/26
"Downloaded from Barchart.com as of 04-13-2026 01:29am CDT"
