ticker,source,trust,snapshot_date,downloaded_at,contract_symbol,contract_label,option_type,expiration,dte,strike,underlying_price,moneyness,bid,ask,mid,last,volume,open_interest,implied_volatility,iv,iv_rank,iv_percentile,delta,gamma,theta,vega,rho,itm_probability,otm_probability,profit_probability,spread,spread_pct_of_mid,entry_premium_mid,entry_premium_ask,entry_premium_realistic,entry_premium_selected,entry_price_mode,exit_premium_conservative,breakeven_mid,breakeven_ask,barchart_be_bid,barchart_be_ask,barchart_be_mid,moneyness_decimal,moneyness_bucket,links,quality_flags,liquidity_bucket,model_eligible
GPRE,barchart_options_screener,manually_downloaded_barchart,2026-05-05,2026-05-05T07:59:00 CDT,,7C Jan-27,call,2027-01-15,256,7.0,18.07,0.6126,10.1,12.4,11.25,10.0,0,95,0.7996,0.7996,0.3567,0.51,0.956116,0.006914,-0.001624,0.011959,0.023897,0.9216,0.0784,0.5328,2.3000000000000007,0.2044444444444445,11.25,12.4,11.825,11.25,mid,10.1,18.25,19.4,17.1,19.4,18.25,0.6126,deep_itm,,zero_volume,usable,True
GPRE,barchart_options_screener,manually_downloaded_barchart,2026-05-05,2026-05-05T07:59:00 CDT,,10C Jan-27,call,2027-01-15,256,10.0,18.07,0.44659999999999994,8.8,9.2,9.0,8.8,0,16140,0.8336,0.8336,0.3567,0.51,0.877495,0.015282,-0.004419,0.02863,0.036355,0.8017,0.19829999999999998,0.47740000000000005,0.3999999999999986,0.04444444444444429,9.0,9.2,9.1,9.0,mid,8.8,19.0,19.2,18.8,19.2,19.0,0.44659999999999994,deep_itm,,zero_volume,liquid,True
GPRE,barchart_options_screener,manually_downloaded_barchart,2026-05-05,2026-05-05T07:59:00 CDT,,12C Jan-27,call,2027-01-15,256,12.0,18.07,0.33590000000000003,6.7,8.3,7.5,0.0,0,12,0.773,0.773,0.3567,0.51,0.823566,0.021299,-0.005443,0.037288,0.041867,0.7364,0.2636,0.4789,1.6000000000000005,0.2133333333333334,7.5,8.3,7.9,7.5,mid,6.7,19.5,20.3,18.7,20.3,19.5,0.33590000000000003,deep_itm,,zero_volume;latest_zero;stale_last,usable,True
GPRE,barchart_options_screener,manually_downloaded_barchart,2026-05-05,2026-05-05T07:59:00 CDT,,15C Jan-27,call,2027-01-15,256,15.0,18.07,0.1699,4.7,6.3,5.5,5.05,0,244,0.6990999999999999,0.6990999999999999,0.3567,0.51,0.723532,0.030797,-0.006596,0.049045,0.04572,0.6248,0.37520000000000003,0.4414,1.5999999999999996,0.29090909090909084,5.5,6.3,5.9,5.5,mid,4.7,20.5,21.3,19.7,21.3,20.5,0.1699,itm,,zero_volume;wide_spread,thin,True
GPRE,barchart_options_screener,manually_downloaded_barchart,2026-05-05,2026-05-05T07:59:00 CDT,,17C Jan-27,call,2027-01-15,256,17.0,18.07,0.0592,4.2,5.2,4.7,4.2,0,266,0.7218000000000001,0.7218000000000001,0.3567,0.51,0.651673,0.033159,-0.007624,0.054614,0.043724,0.5402,0.4598,0.3958,1.0,0.2127659574468085,4.7,5.2,4.95,4.7,mid,4.2,21.7,22.2,21.2,22.2,21.7,0.0592,itm,,zero_volume,usable,True
GPRE,barchart_options_screener,manually_downloaded_barchart,2026-05-05,2026-05-05T07:59:00 CDT,,20C Jan-27,call,2027-01-15,256,20.0,18.07,-0.10679999999999999,2.75,3.8,3.28,2.8,0,3146,0.6654000000000001,0.6654000000000001,0.3567,0.51,0.535444,0.03887,-0.007666,0.059121,0.041007,0.4278,0.5722,0.3397,1.0499999999999998,0.32012195121951215,3.28,3.8,3.5424999999999995,3.28,mid,2.75,23.28,23.8,22.75,23.8,23.28,-0.10679999999999999,otm,,zero_volume;wide_spread,thin,True
GPRE,barchart_options_screener,manually_downloaded_barchart,2026-05-05,2026-05-05T07:59:00 CDT,,22C Jan-27,call,2027-01-15,256,22.0,18.07,-0.2175,2.25,3.2,2.73,0.0,0,0,0.6705,0.6705,0.3567,0.51,0.47007,0.038715,-0.007771,0.059363,0.037288,0.363,0.637,0.3002,0.9500000000000002,0.347985347985348,2.73,3.2,2.9675000000000002,2.73,mid,2.25,24.73,25.2,24.25,25.2,24.73,-0.2175,otm,,zero_volume;zero_open_interest;latest_zero;stale_last;wide_spread,stale_or_wide,True
GPRE,barchart_options_screener,manually_downloaded_barchart,2026-05-05,2026-05-05T07:59:00 CDT,,25C Jan-27,call,2027-01-15,256,25.0,18.07,-0.3835,1.6,2.5,2.05,0.0,0,51,0.6714,0.6714,0.3567,0.51,0.382365,0.037167,-0.007497,0.057094,0.031864,0.2818,0.7182,0.2458,0.8999999999999999,0.43902439024390244,2.05,2.5,2.275,2.05,mid,1.6,27.05,27.5,26.6,27.5,27.05,-0.3835,deep_otm,,zero_volume;latest_zero;stale_last;wide_spread,thin,True
GPRE,barchart_options_screener,manually_downloaded_barchart,2026-05-05,2026-05-05T07:59:00 CDT,,27C Jan-27,call,2027-01-15,256,27.0,18.07,-0.49420000000000003,1.2,1.9,1.55,0.0,0,0,0.644,0.644,0.3567,0.51,0.317103,0.03624,-0.00674,0.053416,0.02758,0.22829999999999998,0.7717,0.2046,0.7,0.4516129032258064,1.55,1.9,1.725,1.55,mid,1.2,28.55,28.9,28.2,28.9,28.55,-0.49420000000000003,deep_otm,,zero_volume;zero_open_interest;latest_zero;stale_last;wide_spread,stale_or_wide,True
GPRE,barchart_options_screener,manually_downloaded_barchart,2026-05-05,2026-05-05T07:59:00 CDT,,30C Jan-27,call,2027-01-15,256,30.0,18.07,-0.6602,1.15,1.25,1.2,1.1,0,8262,0.6541,0.6541,0.3567,0.51,0.257432,0.03236,-0.006212,0.048454,0.023088,0.17739999999999997,0.8226,0.16010000000000002,0.10000000000000009,0.08333333333333341,1.2,1.25,1.225,1.2,mid,1.15,31.2,31.25,31.15,31.25,31.2,-0.6602,deep_otm,,zero_volume,liquid,True
