Symbol,Type,Price~,Latest,"Exp Date",DTE,Strike,Moneyness,Bid,Ask,Mid,Volume,"Open Int",IV,"IV Rank","IV Pctl",Delta,Gamma,Theta,Vega,Rho,"ITM Prob","OTM Prob","Profit Prob","BE (Bid)","BE (Ask)","BE (Mid)"
GPRE,Call,18.07,3.8,2026-12-18,228,18.00,+0.39%,3.8,4.6,4.2,1,4,67.11%,35.67%,51%,0.604019,0.039549,-0.00792,0.054007,0.04007,50.29%,49.71%,36.17%,21.8,22.6,22.2
GPRE,Call,18.07,0,2026-12-18,228,19.00,-5.15%,2.75,4.2,3.48,0,0,68.03%,35.67%,51%,0.566708,0.039896,-0.008223,0.055249,0.038412,46.28%,53.72%,36.51%,21.75,23.2,22.48
GPRE,Call,18.07,4.22,2026-12-18,228,17.00,+5.92%,3.8,4.8,4.3,0,7403,68.72%,35.67%,51%,0.645547,0.037222,-0.007793,0.052019,0.040975,54.47%,45.53%,39.78%,20.8,21.8,21.3
GPRE,Call,18.07,3.1,2026-12-18,228,20.00,-10.68%,2.4,3.8,3.1,0,55,67.37%,35.67%,51%,0.527765,0.040818,-0.008267,0.056002,0.036752,42.44%,57.56%,34.33%,22.4,23.8,23.1
GPRE,Call,18.07,4.42,2026-12-18,228,16.00,+11.46%,4.1,5.7,4.9,0,4,71.66%,35.67%,51%,0.686116,0.03394,-0.007693,0.049428,0.040903,58.50%,41.50%,42.54%,20.1,21.7,20.9
GPRE,Call,18.07,0,2026-12-18,228,21.00,-16.21%,2,3.5,2.75,0,0,66.59%,35.67%,51%,0.489196,0.041443,-0.008211,0.056207,0.034926,38.76%,61.24%,32.33%,23,24.5,23.75
GPRE,Call,18.07,0,2026-12-18,228,15.00,+16.99%,4.6,6.1,5.35,0,78,70.78%,35.67%,51%,0.724865,0.032238,-0.007102,0.046327,0.041623,63.04%,36.96%,44.22%,19.6,21.1,20.35
GPRE,Call,18.07,0,2026-12-18,228,22.00,-21.75%,1.85,3.2,2.53,0,0,67.48%,35.67%,51%,0.457671,0.040712,-0.00829,0.055972,0.033166,35.61%,64.39%,30.14%,23.85,25.2,24.53
GPRE,Call,18.07,0,2026-12-18,228,14.00,+22.52%,5.1,6.8,5.95,0,0,72.18%,35.67%,51%,0.762572,0.029169,-0.006642,0.042685,0.041408,67.27%,32.73%,46.13%,19.1,20.8,19.95
GPRE,Call,18.07,0,2026-12-18,228,23.00,-27.28%,1.45,2.95,2.2,0,0,66.09%,35.67%,51%,0.419369,0.04099,-0.008016,0.055201,0.031252,32.21%,67.79%,28.13%,24.45,25.95,25.2
