Time,Open,High,Low,Latest,Change,%Change,Volume
2026-05-04,15.48,15.64,15.06,15.26,-0.27,-1.74%,4719500
2026-05-01,15.53,15.59,15.315,15.53,0.07,+0.45%,3137200
2026-04-30,15.76,15.79,15.275,15.46,-0.29,-1.84%,2687800
2026-04-29,15.78,15.95,15.575,15.75,-0.07,-0.44%,3072600
2026-04-28,15.75,15.95,15.585,15.82,0.08,+0.51%,3747000
2026-04-27,15.57,15.85,15.52,15.74,0.16,+1.03%,4356100
2026-04-24,15.5,15.625,15.27,15.58,0.21,+1.37%,2760100
2026-04-23,15.37,15.505,14.94,15.37,0.15,+0.99%,5992600
2026-04-22,14.85,15.565,14.77,15.22,0.59,+4.03%,8023300
2026-04-21,14.25,14.8696,14.1,14.63,1.44,+10.92%,9822200
2026-04-20,12.84,13.2,12.72,13.19,0.35,+2.73%,2847900
2026-04-17,12.46,13.08,12.3402,12.84,0.67,+5.51%,4907900
2026-04-16,11.88,12.215,11.855,12.17,0.29,+2.44%,2159300
2026-04-15,11.75,11.9,11.735,11.88,0.14,+1.19%,1356800
2026-04-14,11.61,11.795,11.6,11.74,0.17,+1.47%,1813900
2026-04-13,11.38,11.585,11.33,11.57,0.19,+1.67%,1662800
2026-04-10,11.44,11.55,11.3618,11.38,-0.03,-0.26%,1941300
2026-04-09,11,11.43,11,11.41,0.38,+3.45%,1925400
2026-04-08,11.41,11.435,10.98,11.03,0.03,+0.27%,2705600
2026-04-07,11.05,11.14,10.99,11,-0.05,-0.45%,2510400
2026-04-06,10.86,11.0999,10.86,11.05,0.02,+0.18%,2277200
2026-04-02,11.03,11.155,10.95,11.03,-0.09,-0.81%,2661700
2026-04-01,11.08,11.15,10.925,11.12,0.07,+0.63%,2174400
2026-03-31,11,11.085,10.84,11.05,0.19,+1.75%,2374800
2026-03-30,10.9,11.08,10.79,10.86,-0.01,-0.09%,2746700
2026-03-27,10.88,11.08,10.835,10.87,-0.08,-0.73%,2692200
2026-03-26,10.82,11.055,10.8,10.95,0.04,+0.37%,2635800
2026-03-25,10.75,10.91,10.65,10.91,0.25,+2.35%,2468500
2026-03-24,10.48,10.785,10.47,10.66,0.09,+0.85%,2452600
2026-03-23,10.49,10.76,10.36,10.57,0.38,+3.73%,4005100
2026-03-20,10.19,10.32,10.07,10.19,0.01,+0.10%,7981200
2026-03-19,9.72,10.245,9.69,10.18,0.38,+3.88%,3869400
2026-03-18,10.38,10.6,9.79,9.8,-0.57,-5.50%,4448600
2026-03-17,10.47,10.57,10.335,10.37,0.04,+0.39%,2504100
