strike,moneyness,bid,mid,ask,last,change,pct_change,volume,open_interest,oi_change,iv,delta,type,last_trade
1.0,,,,,,,,,,,3.2517912173356884,0.9999999999999968,call,
1.0,,,,,,,,,,,1.0300928484867453,-0.00019547099888288813,put,
2.0,,,,,,,,,,,1.9867439133027864,0.9999999998729348,call,
2.0,,,,,,,,,,,,,put,
3.0,,,,,,,,,,,1.6460788953942427,0.9999956867814916,call,
3.0,,,,,,,,,,,,,put,
4.0,,,,,,,,,,,1.4627397176480743,0.9995722972122836,call,
4.0,,,,,,,,,,,,,put,
5.0,,,,,,,,,,,,,call,
5.0,,,,,,,,,,,,,put,
6.0,,,,,,,,,,,,,call,
6.0,,,,,,,,,,,,,put,
7.0,,,,,,,,,,,,,call,
7.0,,,,,,,,,,,,,put,
8.0,,,,,,,,,,,,,call,
8.0,,,,,,,,,,,,,put,
9.0,,,,,,,,,,,,,call,
9.0,,,,,,,,,,,,,put,
10.0,,,,,,,,,,,,,call,
10.0,,,,,,,,,,,,,put,
11.0,,,,,,,,,,,,,call,
11.0,,,,,,,,,,,,,put,
12.0,,,,,,,,,,,,,call,
12.0,,,,,,,,,,,,,put,
13.0,,,,,,,,,,,,,call,
13.0,,,,,,,,,,,,,put,
14.0,,,,,,,,,,,,,call,
14.0,,,,,,,,,,,,,put,
15.0,,,,,,,,,,,,,call,
15.0,,,,,,,,,,,,,put,
16.0,,,,,,,,,,,,,call,
16.0,,,,,,,,,,,,,put,
17.0,,,,,,,,,,,,,call,
17.0,,,,,,,,,,,,,put,
18.0,,,,,,,,,,,,,call,
18.0,,,,,,,,,,,,,put,
19.0,,,,,,,,,,,,,call,
19.0,,,,,,,,,,,,,put,
20.0,,,,,,,,,,,,,call,
20.0,,,,,,,,,,,,,put,
21.0,,,,,,,,,,,,,call,
21.0,,,,,,,,,,,,,put,
22.0,,,,,,,,,,,,,call,
22.0,,,,,,,,,,,,,put,
23.0,,,,,,,,,,,,,call,
23.0,,,,,,,,,,,,,put,
24.0,,,,,,,,,,,,,call,
24.0,,,,,,,,,,,,,put,
25.0,,,,,,,,,,,,,call,
25.0,,,,,,,,,,,,,put,
26.0,,,,,,,,,,,,,call,
26.0,,,,,,,,,,,,,put,
27.0,,,,,,,,,,,,,call,
27.0,,,,,,,,,,,,,put,
28.0,,,,,,,,,,,,,call,
28.0,,,,,,,,,,,,,put,
29.0,,,,,,,,,,,,,call,
29.0,,,,,,,,,,,,,put,
