ticker,source,trust,snapshot_date,downloaded_at,contract_symbol,contract_label,option_type,expiration,dte,strike,underlying_price,moneyness,bid,ask,mid,last,volume,open_interest,implied_volatility,iv,iv_rank,iv_percentile,delta,gamma,theta,vega,rho,itm_probability,otm_probability,profit_probability,spread,spread_pct_of_mid,entry_premium_mid,entry_premium_ask,entry_premium_realistic,entry_premium_selected,entry_price_mode,exit_premium_conservative,breakeven_mid,breakeven_ask,barchart_be_bid,barchart_be_ask,barchart_be_mid,moneyness_decimal,moneyness_bucket,links,quality_flags,liquidity_bucket,model_eligible
PBI,barchart_options_screener,manually_downloaded_barchart,2026-05-05,2026-05-05T08:01:00 CDT,,5C Aug-26,call,2026-08-21,109,5.0,15.26,0.6723,8.4,12.2,10.3,0.0,0,0,1.0956000000000001,1.0956000000000001,0.41869999999999996,0.65,0.984115,0.003966,-0.001291,0.002864,0.006619,0.9688,0.031200000000000002,0.5859000000000001,3.799999999999999,0.36893203883495135,10.3,12.2,11.25,10.3,mid,8.4,15.3,17.2,13.4,17.2,15.3,0.6723,deep_itm,,zero_volume;zero_open_interest;latest_zero;stale_last;wide_spread,stale_or_wide,True
PBI,barchart_options_screener,manually_downloaded_barchart,2026-05-05,2026-05-05T08:01:00 CDT,,6C Aug-26,call,2026-08-21,109,6.0,15.26,0.6068,8.0,11.3,9.65,0.0,0,0,1.4461000000000002,1.4461000000000002,0.41869999999999996,0.65,0.939983,0.009493,-0.006015,0.009413,0.01025,0.8812000000000001,0.1188,0.5434,3.3000000000000007,0.3419689119170985,9.65,11.3,10.475000000000001,9.65,mid,8.0,15.65,17.3,14.0,17.3,15.65,0.6068,deep_itm,,zero_volume;zero_open_interest;latest_zero;stale_last;wide_spread,stale_or_wide,True
PBI,barchart_options_screener,manually_downloaded_barchart,2026-05-05,2026-05-05T08:01:00 CDT,,7C Aug-26,call,2026-08-21,109,7.0,15.26,0.5413,6.4,10.3,8.35,0.0,0,0,0.8748999999999999,0.8748999999999999,0.41869999999999996,0.65,0.967161,0.009408,-0.002123,0.00558,0.011898,0.9484999999999999,0.051500000000000004,0.6071,3.9000000000000004,0.4670658682634731,8.35,10.3,9.325,8.35,mid,6.4,15.35,17.3,13.4,17.3,15.35,0.5413,deep_itm,,zero_volume;zero_open_interest;latest_zero;stale_last;wide_spread,stale_or_wide,True
PBI,barchart_options_screener,manually_downloaded_barchart,2026-05-05,2026-05-05T08:01:00 CDT,,8C Aug-26,call,2026-08-21,109,8.0,15.26,0.4758,5.5,9.3,7.4,0.0,0,0,0.8048000000000001,0.8048000000000001,0.41869999999999996,0.65,0.95185,0.01415,-0.002796,0.007798,0.014686,0.929,0.071,0.6097,3.8000000000000007,0.5135135135135136,7.4,9.3,8.350000000000001,7.4,mid,5.5,15.4,17.3,13.5,17.3,15.4,0.4758,deep_itm,,zero_volume;zero_open_interest;latest_zero;stale_last;very_wide_spread,stale_or_wide,True
PBI,barchart_options_screener,manually_downloaded_barchart,2026-05-05,2026-05-05T08:01:00 CDT,,9C Aug-26,call,2026-08-21,109,9.0,15.26,0.4102,4.5,8.4,6.45,0.0,0,0,0.7256,0.7256,0.41869999999999996,0.65,0.934143,0.020243,-0.003328,0.010124,0.017689,0.9085,0.0915,0.6214,3.9000000000000004,0.6046511627906977,6.45,8.4,7.425000000000001,6.45,mid,4.5,15.45,17.4,13.5,17.4,15.45,0.4102,deep_itm,,zero_volume;zero_open_interest;latest_zero;stale_last;very_wide_spread,stale_or_wide,True
PBI,barchart_options_screener,manually_downloaded_barchart,2026-05-05,2026-05-05T08:01:00 CDT,,10C Aug-26,call,2026-08-21,109,10.0,15.26,0.3447,4.2,7.4,5.8,0.0,0,0,0.8427,0.8427,0.41869999999999996,0.65,0.871983,0.029074,-0.006527,0.016967,0.018507,0.8206,0.1794,0.5621,3.2,0.5517241379310345,5.8,7.4,6.6,5.8,mid,4.2,15.8,17.4,14.2,17.4,15.8,0.3447,deep_itm,,zero_volume;zero_open_interest;latest_zero;stale_last;very_wide_spread,stale_or_wide,True
PBI,barchart_options_screener,manually_downloaded_barchart,2026-05-05,2026-05-05T08:01:00 CDT,,11C Aug-26,call,2026-08-21,109,11.0,15.26,0.2792,2.65,6.4,4.53,0.0,0,0,0.5409,0.5409,0.41869999999999996,0.65,0.89276,0.039557,-0.003754,0.014836,0.023373,0.8659,0.1341,0.647,3.7500000000000004,0.8278145695364238,4.53,6.4,5.4675,4.53,mid,2.65,15.530000000000001,17.4,13.65,17.4,15.53,0.2792,itm,,zero_volume;zero_open_interest;latest_zero;stale_last;very_wide_spread,stale_or_wide,True
PBI,barchart_options_screener,manually_downloaded_barchart,2026-05-05,2026-05-05T08:01:00 CDT,,12C Aug-26,call,2026-08-21,109,12.0,15.26,0.21359999999999998,1.85,5.6,3.72,0.0,0,0,0.5344,0.5344,0.41869999999999996,0.65,0.832092,0.055072,-0.005119,0.020443,0.024299,0.7947,0.2053,0.6301,3.7499999999999996,1.008064516129032,3.72,5.6,4.6575,3.72,mid,1.85,15.72,17.6,13.85,17.6,15.72,0.21359999999999998,itm,,zero_volume;zero_open_interest;latest_zero;stale_last;very_wide_spread,stale_or_wide,True
PBI,barchart_options_screener,manually_downloaded_barchart,2026-05-05,2026-05-05T08:01:00 CDT,,13C Aug-26,call,2026-08-21,109,13.0,15.26,0.1481,1.05,4.7,2.88,0.0,0,0,0.4757,0.4757,0.41869999999999996,0.65,0.771956,0.074838,-0.005551,0.024743,0.025497,0.7312000000000001,0.2688,0.6247,3.6500000000000004,1.2673611111111114,2.88,4.7,3.7925,2.88,mid,1.05,15.879999999999999,17.7,14.05,17.7,15.88,0.1481,itm,,zero_volume;zero_open_interest;latest_zero;stale_last;very_wide_spread,stale_or_wide,True
PBI,barchart_options_screener,manually_downloaded_barchart,2026-05-05,2026-05-05T08:01:00 CDT,,14C Aug-26,call,2026-08-21,109,14.0,15.26,0.08259999999999999,0.95,4.0,2.48,0.0,0,0,0.5539999999999999,0.5539999999999999,0.41869999999999996,0.65,0.669044,0.077638,-0.007731,0.029894,0.022174,0.612,0.38799999999999996,0.527,3.05,1.2298387096774193,2.48,4.0,3.2424999999999997,2.48,mid,0.95,16.48,18.0,14.95,18.0,16.48,0.08259999999999999,itm,,zero_volume;zero_open_interest;latest_zero;stale_last;very_wide_spread,stale_or_wide,True
