Symbol,Type,Price~,Latest,"Exp Date",DTE,Strike,Moneyness,Bid,Ask,Mid,Volume,"Open Int",IV,"IV Rank","IV Pctl",Delta,Gamma,Theta,Vega,Rho,"ITM Prob","OTM Prob","Profit Prob","BE (Bid)","BE (Ask)","BE (Mid)"
PBI,Call,15.26,0.85,2026-05-15,11,15.00,+1.70%,0.85,0.95,0.9,2,777,67.79%,41.87%,65%,0.582071,0.217269,-0.032076,0.010334,0.002421,55.81%,44.19%,37.36%,15.85,15.95,15.9
PBI,Call,15.26,0.6,2026-05-15,11,16.00,-4.85%,0.4,0.5,0.45,176,1100,70.43%,41.87%,65%,0.373085,0.202836,-0.03225,0.010024,0.00158,34.93%,65.07%,27.78%,16.4,16.5,16.45
PBI,Call,15.26,1.77,2026-05-15,11,14.00,+8.26%,1.4,1.75,1.58,3,471,77.77%,41.87%,65%,0.760261,0.150537,-0.029296,0.008215,0.003021,73.84%,26.16%,47.30%,15.4,15.75,15.58
PBI,Call,15.26,0.25,2026-05-15,11,17.00,-11.40%,0.2,0.25,0.23,12,252,76.25%,41.87%,65%,0.227461,0.149355,-0.027796,0.007991,0.000971,20.73%,79.27%,18.30%,17.2,17.25,17.23
PBI,Call,15.26,2.71,2026-05-15,11,13.00,+14.81%,2.35,3,2.68,2,513,130.46%,41.87%,65%,0.794158,0.082247,-0.044813,0.007529,0.002758,76.04%,23.96%,48.96%,15.35,16,15.68
PBI,Call,15.26,0.16,2026-05-15,11,18.00,-17.96%,0.1,0.15,0.13,0,63,78.66%,41.87%,65%,0.12741,0.100082,-0.019813,0.005525,0.000548,11.33%,88.67%,10.57%,18.1,18.15,18.13
PBI,Call,15.26,0.1,2026-05-15,11,19.00,-24.51%,0,0.15,0.08,0,42,84.65%,41.87%,65%,0.078391,0.065257,-0.014956,0.003878,0.000338,6.79%,93.21%,6.79%,19,19.15,19.08
PBI,Call,15.26,4.66,2026-05-15,11,11.00,+27.92%,4.2,5,4.6,2,384,197.53%,41.87%,65%,0.869688,0.040379,-0.050282,0.005596,0.002313,83.01%,16.99%,50.46%,15.2,16,15.6
PBI,Call,15.26,0.05,2026-05-15,11,20.00,-31.06%,0,0.75,0.38,10,9,91.30%,41.87%,65%,0.052058,0.044009,-0.011732,0.002821,0.000224,4.39%,95.61%,4.39%,20,20.75,20.38
PBI,Call,15.26,5.2,2026-05-15,11,10.00,+34.47%,4.7,6.3,5.5,0,667,202.52%,41.87%,65%,0.915592,0.028729,-0.037567,0.004082,0.002156,88.54%,11.46%,54.23%,14.7,16.3,15.5
PBI,Call,15.26,0,2026-05-15,11,21.00,-37.61%,0,0.95,0.48,0,0,184.18%,41.87%,65%,0.200986,0.057531,-0.062319,0.007436,0.000776,15.90%,84.10%,15.90%,21,21.95,21.48
PBI,Call,15.26,5.53,2026-05-15,11,9.00,+41.02%,5.5,7.4,6.45,0,2,227.08%,41.87%,65%,0.937467,0.02034,-0.03337,0.003239,0.001926,90.98%,9.02%,55.16%,14.5,16.4,15.45
PBI,Call,15.26,0,2026-05-15,11,22.00,-44.17%,0,2.15,1.08,0,0,272.52%,41.87%,65%,0.295795,0.047838,-0.113378,0.009148,0.001007,21.97%,78.03%,21.97%,22,24.15,23.08
